Country_Code,Country_Name,Value
BWA,Botswana,469.01
MCO,Monaco,538.8
MDA,Moldova,430.02
MDG,Madagascar,1414.02
MRT,Mauritania,80.55
MSR,Montserrat,874.15
MUS,Mauritius,1004.65
FIN,Finland,727.88
FJI,Fiji,2888.02
FRA,France,847.36
ASM,American Samoa,2093.15
ATF,French Southern and Antarctic Territories,1738.81
ATG,Antigua and Barbuda,846.33
SXM,Sint Maarten (Dutch part),904.11
SYC,Seychelles,1320.21
SYR,Syrian Arab Republic,198.11
GEO,Georgia,1215.8
GGY,Guernsey,980.45
GHA,Ghana,1093.49
CRI,Costa Rica,3702.66
CUB,Cuba,871.87
CUW,Curacao,1000.7
CXR,Christmas Island,1993.59
GUM,Guam,2288.85
GUY,Guyana,2682.03
HMD,Heard Island and McDonald Islands,1225.68
VCT,St. Vincent and the Grenadines,1287.03
VEN,"Venezuela, RB",2261.93
VGB,British Virgin Islands,1015.57
DEU,Germany,825.59
DJI,Djibouti,173.04
